"LAT";"LON";"DATETIME";"distance"
54.52347;18.65811;2016-12-13 13:11:07;4.63128083972243
54.52343;18.65813;2016-12-13 13:13:01;0
54.52343;18.65813;2016-12-13 13:13:07;2.31564055236362
54.52341;18.65812;2016-12-13 13:15:02;0
54.52341;18.65812;2016-12-13 13:15:07;0
54.52341;18.65812;2016-12-13 13:17:01;0
54.52341;18.65812;2016-12-13 13:17:07;6.94692139202871
54.52347;18.65815;2016-12-13 13:19:02;0
54.52347;18.65815;2016-12-13 13:19:07;2.94854467104254
54.52345;18.65812;2016-12-13 13:21:02;0
54.52345;18.65812;2016-12-13 13:21:07;0
54.52345;18.65812;2016-12-13 13:23:02;0
54.52345;18.65812;2016-12-13 13:23:08;1.28565047407485
54.52344;18.65811;2016-12-13 13:25:02;0
54.52344;18.65811;2016-12-13 13:25:07;0
54.52344;18.65811;2016-12-13 13:27:02;0
54.52344;18.65811;2016-12-13 13:27:08;6.82585909984216
54.52342;18.65821;2016-12-13 13:29:01;0
54.52342;18.65821;2016-12-13 13:29:07;0
54.52342;18.65821;2016-12-13 13:31:02;0
54.52342;18.65821;2016-12-13 13:31:07;0
54.52342;18.65821;2016-12-13 13:33:02;0
54.52342;18.65821;2016-12-13 13:33:08;7.84348696650925
54.52345;18.6581;2016-12-13 13:35:02;7.84348696650925
54.52342;18.65821;2016-12-13 13:35:07;9.01682659527823
54.52347;18.6581;2016-12-13 13:37:01;0
54.52347;18.6581;2016-12-13 13:37:07;0
54.52347;18.6581;2016-12-13 13:39:01;0
54.52347;18.6581;2016-12-13 13:39:08;5.16273082310446
54.52347;18.65802;2016-12-13 13:41:02;0
54.52347;18.65802;2016-12-13 13:41:07;9.49555847317347
54.52343;18.65815;2016-12-13 13:43:02;0
54.52343;18.65815;2016-12-13 13:43:07;0
54.52343;18.65815;2016-12-13 13:45:02;0
54.52343;18.65815;2016-12-13 13:45:09;12.2595686771613
54.52333;18.65823;2016-12-13 13:47:01;0
54.52333;18.65823;2016-12-13 13:47:07;4.02855891484741
54.52334;18.65829;2016-12-13 13:49:01;0
54.52334;18.65829;2016-12-13 13:49:07;0
54.52334;18.65829;2016-12-13 13:51:01;0
54.52334;18.65829;2016-12-13 13:51:07;5.11084353282828
54.52337;18.65823;2016-12-13 13:53:02;0
54.52337;18.65823;2016-12-13 13:53:07;0
54.52337;18.65823;2016-12-13 13:55:02;0
54.52337;18.65823;2016-12-13 13:55:08;4.63128136757973
54.52341;18.65821;2016-12-13 13:57:02;0
54.52341;18.65821;2016-12-13 13:57:07;0
54.52341;18.65821;2016-12-13 13:59:01;0
54.52341;18.65821;2016-12-13 13:59:07;0
54.52341;18.65821;2016-12-13 14:01:01;0
54.52341;18.65821;2016-12-13 14:01:06;0
54.52341;18.65821;2016-12-13 14:03:02;6.9469221842116
54.52335;18.65824;2016-12-13 14:03:08;3.91885538413874
54.52333;18.65829;2016-12-13 14:05:02;3.91885538413874
54.52335;18.65824;2016-12-13 14:05:07;3.91885538413874
54.52333;18.65829;2016-12-13 14:07:02;0
54.52333;18.65829;2016-12-13 14:07:08;6.5485321351413
54.52332;18.65819;2016-12-13 14:09:02;0
54.52332;18.65819;2016-12-13 14:09:07;6.12978527062755
54.52337;18.65823;2016-12-13 14:11:02;0
54.52337;18.65823;2016-12-13 14:11:07;0
54.52337;18.65823;2016-12-13 14:13:02;0
54.52337;18.65823;2016-12-13 14:13:07;14.2634233917165
54.52333;18.65802;2016-12-13 14:15:02;0
54.52333;18.65802;2016-12-13 14:15:08;13.9828691956777
54.5234;18.6582;2016-12-13 14:17:02;0
54.5234;18.6582;2016-12-13 14:17:07;0
54.5234;18.6582;2016-12-13 14:19:02;0
54.5234;18.6582;2016-12-13 14:19:08;13.4631166725553
54.52335;18.65801;2016-12-13 14:21:02;0
54.52335;18.65801;2016-12-13 14:21:07;16.0069881406117
